"id","bus_name","bus_type","start_time","end_time","total_duration","price","seats_available","ratings","route_link","route_name"
1,"FRESHBUS","Electric A/C Seater (2+2)","04:15","10:30","06h 15m","575","18 Seats available","4.7","https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada","Hyderabad to Vijayawada"
2,"FRESHBUS","Electric A/C Seater (2+2)","16:00","23:10","07h 10m","550","34 Seats available","4.7","https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada","Hyderabad to Vijayawada"
3,"FRESHBUS","Electric A/C Seater (2+2)","23:10","05:35","06h 25m","650","24 Seats available","4.6","https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada","Hyderabad to Vijayawada"
4,"IntrCity SmartBus","Bharat Benz A/C Seater /Sleeper (2+1)","23:50","05:35","05h 45m","704","36 Seats available","4.5","https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada","Hyderabad to Vijayawada"
5,"FRESHBUS","Electric A/C Seater (2+2)","13:10","19:25","06h 15m","500","40 Seats available","4.6","https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada","Hyderabad to Vijayawada"
6,"Sri Vengamamba Bus Transport (SVBT)","A/C Seater / Sleeper (2+1)","21:40","06:15","08h 35m","1274","14 Seats available","4.4","https://www.redbus.in/bus-tickets/hyderabad-to-ongole","Hyderabad to Ongole"
7,"Kamakshi Tours And Travels","Non A/C Seater / Sleeper (2+1)","21:30","06:00","08h 30m","790","8 Seats available","4.4","https://www.redbus.in/bus-tickets/hyderabad-to-ongole","Hyderabad to Ongole"
8,"V Kaveri Travels","Scania AC Multi Axle Sleeper (2+1)","21:30","05:45","08h 15m","1440","27 Seats available","4.3","https://www.redbus.in/bus-tickets/hyderabad-to-ongole","Hyderabad to Ongole"
9,"Kaveri Travels","Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1)","21:30","05:45","08h 15m","1260","18 Seats available","4.2","https://www.redbus.in/bus-tickets/hyderabad-to-ongole","Hyderabad to Ongole"
10,"Chandu Travels","A/C Sleeper (2+1)","22:00","05:45","07h 45m","1131","21 Seats available","4.1","https://www.redbus.in/bus-tickets/hyderabad-to-ongole","Hyderabad to Ongole"
11,"APSRTC - 2538","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","00:15","04:15","04h 00m","281","22 Seats available","5","https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam","Kakinada to Visakhapatnam"
12,"APSRTC - 2837","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","00:30","03:30","03h 00m","281","12 Seats available","4.6","https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam","Kakinada to Visakhapatnam"
13,"APSRTC - 23551","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","00:45","04:45","04h 00m","281","34 Seats available","2.9","https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam","Kakinada to Visakhapatnam"
14,"APSRTC - 2536","INDRA(A.C. Seater)","01:15","04:30","03h 15m","340","26 Seats available","3.8","https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam","Kakinada to Visakhapatnam"
15,"APSRTC - 23537","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","01:30","06:00","04h 30m","281","32 Seats available","4","https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam","Kakinada to Visakhapatnam"
16,"Navayuga Travels","A/C Sleeper (2+1)","01:40","05:00","03h 20m","990","1 Seat available","2.9","https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam","Kakinada to Visakhapatnam"
17,"Morning Star Travels","A/C Sleeper (2+1)","02:10","05:00","02h 50m","790","1 Seat available","2.7","https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam","Kakinada to Visakhapatnam"
18,"Gaganasri Travels","Non A/C Seater / Sleeper (2+1)","23:50","03:30","03h 40m","5000","1 Seat available","0","https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam","Kakinada to Visakhapatnam"
19,"NueGo","Electric A/C Seater (2+2)","05:00","11:25","06h 25m","390","4 Seats available","4.3","https://www.redbus.in/bus-tickets/bangalore-to-tirupathi","Bangalore to Tirupati"
20,"NueGo","Electric A/C Seater (2+2)","06:00","11:45","05h 45m","332","4 Seats available","4.5","https://www.redbus.in/bus-tickets/bangalore-to-tirupathi","Bangalore to Tirupati"
21,"FRESHBUS","Electric A/C Seater (2+2)","06:00","12:20","06h 20m","500","25 Seats available","4.7","https://www.redbus.in/bus-tickets/bangalore-to-tirupathi","Bangalore to Tirupati"
22,"NueGo","Electric A/C Seater (2+2)","07:00","12:45","05h 45m","332","13 Seats available","4.2","https://www.redbus.in/bus-tickets/bangalore-to-tirupathi","Bangalore to Tirupati"
23,"FRESHBUS","Electric A/C Seater (2+2)","07:15","13:30","06h 15m","500","32 Seats available","4.6","https://www.redbus.in/bus-tickets/bangalore-to-tirupathi","Bangalore to Tirupati"
24,"APSRTC - 50145","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","04:00","11:00","07h 00m","439","18 Seats available","3.8","https://www.redbus.in/bus-tickets/bangalore-to-kadapa","Bangalore to Kadapa"
25,"APSRTC - 6204","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","04:30","11:00","06h 30m","439","13 Seats available","3.3","https://www.redbus.in/bus-tickets/bangalore-to-kadapa","Bangalore to Kadapa"
26,"APSRTC - 6206","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","05:30","12:00","06h 30m","439","23 Seats available","3.3","https://www.redbus.in/bus-tickets/bangalore-to-kadapa","Bangalore to Kadapa"
27,"APSRTC - 50182","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","06:00","13:00","07h 00m","439","29 Seats available","3.5","https://www.redbus.in/bus-tickets/bangalore-to-kadapa","Bangalore to Kadapa"
28,"APSRTC - 6011","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","06:30","13:30","07h 00m","439","31 Seats available","3.6","https://www.redbus.in/bus-tickets/bangalore-to-kadapa","Bangalore to Kadapa"
29,"BHAIRAVA TOURS AND TRAVELS","Non A/C Seater / Sleeper (2+1)","19:15","03:00","07h 45m","999","5 Seats available","4.4","https://www.redbus.in/bus-tickets/bangalore-to-kadapa","Bangalore to Kadapa"
30,"Royal Voyage Travels (RVT)","A/C Seater / Sleeper (2+1)","19:20","03:25","08h 05m","1199","10 Seats available","4","https://www.redbus.in/bus-tickets/bangalore-to-kadapa","Bangalore to Kadapa"
31,"Giridhar Tours and Travels","A/C Seater/Sleeper (2+1)","19:24","03:15","07h 51m","1090","24 Seats available","4.2","https://www.redbus.in/bus-tickets/bangalore-to-kadapa","Bangalore to Kadapa"
32,"Maheswari Travels","Non A/C Seater / Sleeper (2+1)","20:05","04:00","07h 55m","899","19 Seats available","4.1","https://www.redbus.in/bus-tickets/bangalore-to-kadapa","Bangalore to Kadapa"
